22418350,05/08/2018,107412920603                            ,454637,904533,00  ,111.00          ,S  ,P  
22302636,05/08/2018,107412720925                            ,017830,506007,00  ,1197.80         ,S  ,P  
22302636,05/08/2018,107412721061                            ,017832,445124,00  ,4770.13         ,S  ,P  
22418350,05/08/2018,107412918912                            ,454635,470018,00  ,375.00          ,S  ,P  
22418350,05/08/2018,107412924351                            ,454638,099363,00  ,201.00          ,S  ,P  
22302636,05/08/2018,107412721987                            ,017834,100661,00  ,450.00          ,S  ,P  
22418350,05/08/2018,107412589626                            ,454440,031483,00  ,500.00          ,S  ,P  
22302636,05/08/2018,107412559777                            ,017550,993301,00  ,599.00          ,S  ,P  
22302636,05/08/2018,107412722343                            ,017835,104862,00  ,199.00          ,S  ,P  
22418350,05/08/2018,107412927359                            ,454639,015579,00  ,100.00          ,S  ,P  
22418350,05/08/2018,107412928458                            ,454641,021076,00  ,102.00          ,S  ,P  
22302636,05/08/2018,107412721757                            ,017836,445288,00  ,1000.00         ,S  ,P  
22302636,05/08/2018,107412706144                            ,017797,100852,00  ,2184.55         ,S  ,P  
22418350,05/08/2018,107412931591                            ,454643,054223,00  ,100.00          ,S  ,P  
22302636,05/08/2018,107412725101                            ,017842,035624,00  ,375.00          ,S  ,P  
22418350,05/08/2018,107412931415                            ,454642,054848,00  ,200.00          ,S  ,P  
22302636,05/08/2018,107412725962                            ,017845,105280,00  ,487.00          ,S  ,P  
22418350,05/08/2018,107412932701                            ,454644,057006,00  ,40.00           ,S  ,P  
22418350,05/08/2018,107412933026                            ,454645,000000,05  ,50.00           ,N  ,P  
22302636,05/08/2018,107412727176                            ,017847,036338,00  ,500.00          ,S  ,P  
22418350,05/08/2018,107412933869                            ,454646,574780,00  ,50.00           ,S  ,P  
22302636,05/08/2018,CCAFH2KVQ263                            ,567161,638239,00  ,45.00           ,S  ,P  
22302636,05/08/2018,107412731985                            ,017857,422777,00  ,1000.00         ,S  ,P  
22418350,05/08/2018,107412934269                            ,454648,062481,00  ,50.00           ,S  ,P  
22302636,05/08/2018,107412731134                            ,017859,446137,00  ,203.54          ,S  ,P  
22418350,05/08/2018,107412934333                            ,454647,000000,05  ,50.00           ,N  ,P  
22302636,05/08/2018,107412731491                            ,017856,507516,00  ,725.00          ,S  ,P  
22418350,05/08/2018,107412937007                            ,454649,066072,00  ,35.00           ,S  ,P  
22418350,05/08/2018,107412590474                            ,454441,070995,00  ,11.00           ,S  ,P  
22302636,05/08/2018,107412560494                            ,017551,090666,00  ,1986.65         ,S  ,P  
22302636,05/08/2018,107412732339                            ,017860,105710,00  ,387.00          ,S  ,P  
22418350,05/08/2018,107412938080                            ,454651,072203,00  ,80.00           ,S  ,P  
22418350,05/08/2018,107412941182                            ,454653,T42236,00  ,198.00          ,S  ,P  
22302636,05/08/2018,107412732408                            ,017862,507575,00  ,799.00          ,S  ,P  
22418350,05/08/2018,107412946225                            ,454656,014463,00  ,110.00          ,S  ,P  
22302636,05/08/2018,107412732918                            ,017863,507620,00  ,3000.00         ,S  ,P  
